"";"Ano";"UF";"CAPITAL";"RM_RIDE";"V1008";"V1012";"V1013";"V1016";"Estrato";"UPA";"V1022";"V1023";"V1030";"V1031";"V1032";"posest";"A001";"A001A";"A001B1";"A001B2";"A001B3";"A002";"A003";"A004";"A005";"B0011";"B0012";"B0013";"B0014";"B0015";"B0016";"B0017";"B0018";"B0019";"B00110";"B00111";"B00112";"B002";"B0031";"B0032";"B0033";"B0034";"B0035";"B0036";"B0037";"B0041";"B0042";"B0043";"B0044";"B0045";"B0046";"B005";"B006";"B007";"C001";"C002";"C003";"C004";"C005";"C0051";"C0052";"C0053";"C006";"C007";"C007A";"C007B";"C007C";"C007D";"C007E";"C007E1";"C007E2";"C008";"C009";"C010";"C0101";"C01011";"C01012";"C0102";"C01021";"C01022";"C0103";"C0104";"C011A";"C011A1";"C011A11";"C011A12";"C011A2";"C011A21";"C011A22";"C012";"C013";"C014";"C015";"C016";"C017A";"D0011";"D0013";"D0021";"D0023";"D0031";"D0033";"D0041";"D0043";"D0051";"D0053";"D0061";"D0063";"D0071";"D0073";"F001";"F0021";"F0022";"F0061";"F006"
"2479";2020;11;NA;NA;7;4;5;1;1151012;110005548;1;4;150235;413,95051515;490,4233078;1124;2;2;16;3;1982;38;2;4;5;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;2;7;NA;NA;6;6;NA;NA;NA;44;44;1;1;5;3000;NA;NA;NA;NA;NA;1;1;5;2000;NA;NA;NA;1;NA;1;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;2000;1;NA;NA;1;2
"2480";2020;11;NA;NA;7;4;5;1;1151012;110005548;1;4;157421;413,95051515;564,4505093;1113;3;4;19;3;1998;22;1;4;6;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;3;2;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;2000;1;NA;NA;1;2
"2481";2020;11;NA;NA;12;1;5;1;1151012;110005548;1;4;32568;413,95051515;339,1775631;1118;1;1;8;12;1940;79;1;4;1;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;2;1;2090;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;2
"2482";2020;11;NA;NA;12;1;5;1;1151012;110005548;1;4;54453;413,95051515;370,2480689;1127;2;2;15;7;1953;66;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;2;1;2090;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;2
"2483";2020;11;NA;NA;13;3;5;1;1151012;110005548;1;4;152194;413,95051515;429,83862141;1114;1;1;1;2;1982;38;1;4;5;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;4;NA;3;19;7;NA;NA;NA;44;44;1;1;5;2000;NA;NA;NA;NA;NA;1;1;5;2000;NA;NA;NA;1;NA;2;NA;NA;NA;2;NA;2;NA;1;80;2;NA;1;600;2;NA;2;NA;3;400;2;1;1
"2484";2020;11;NA;NA;13;3;5;1;1151012;110005548;1;4;150235;413,95051515;490,4233078;1124;2;2;5;9;1981;38;2;4;5;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;8;1;2;NA;2;NA;1;80;2;NA;1;600;2;NA;2;NA;3;400;2;1;1
"2485";2020;11;NA;NA;13;3;5;1;1151012;110005548;1;4;139963;413,95051515;465,42257146;1122;3;4;12;12;2007;12;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;1;80;2;NA;1;600;2;NA;2;NA;3;400;2;1;1
"2486";2020;11;NA;NA;13;3;5;1;1151012;110005548;1;4;140194;413,95051515;538,58673144;1111;4;4;28;5;2017;2;1;4;1;1;2;2;2;2;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;2;NA;1;80;2;NA;1;600;2;NA;2;NA;3;400;2;1;1
"2487";2020;11;NA;NA;14;1;5;1;1151012;110005548;1;4;55619;413,95051515;413,72291551;1117;1;1;16;11;1955;64;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;2;4;2;1;1045;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;1
"2488";2020;11;NA;NA;1;1;5;1;1151020;110009879;2;4;95096;177,68323948;195,537735;1116;1;1;24;7;1964;55;1;4;2;2;2;2;2;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;2;7;NA;NA;12;1;NA;NA;NA;40;40;1;1;5;3000;NA;NA;NA;NA;NA;1;1;5;3000;NA;NA;NA;1;NA;1;NA;NA;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;2;NA;1;NA;NA;1;3
